"Symptom Group","Symptom","Cancer Group","Cancer Site","N_Men","% (95% CI)_Men","N_Women","% (95% CI)_Women"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","HPB","Pancreas","76","0.00 (0.00, 4.81)","82","1.22 (0.22, 6.59)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","HPB","Other HPB","76","0.00 (0.00, 4.81)","82","1.22 (0.22, 6.59)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Respiratory","Lung","76","5.26 (2.07, 12.8)","82","4.88 (1.91, 11.9)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Respiratory","Mesothelioma","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Urological","Bladder","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Urological","Kidney","76","2.63 (0.72, 9.10)","82","1.22 (0.22, 6.59)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Urological","Ureteric and other urinary","76","1.32 (0.23, 7.08)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Haematological","Acute leukaemia","76","13.2 (7.31, 22.6)","82","28.0 (19.5, 38.6)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Haematological","Chronic lymphocytic leukaemia","76","2.63 (0.72, 9.10)","82","2.44 (0.67, 8.46)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Haematological","Hodgkin lymphoma","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Haematological","Multiple myeloma","76","3.95 (1.35, 11.0)","82","8.54 (4.20, 16.6)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Haematological","Non-Hodgkin lymphoma","76","7.89 (3.67, 16.2)","82","4.88 (1.91, 11.9)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Haematological","Other haematological","76","13.2 (7.31, 22.6)","82","6.10 (2.63, 13.5)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","CNS","CNS","76","1.32 (0.23, 7.08)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Sarcoma","Bone sarcoma","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Sarcoma","Connective and soft tissue sarcoma","76","6.58 (2.84, 14.5)","82","1.22 (0.22, 6.59)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Skin","Melanoma","76","9.21 (4.53, 17.8)","82","12.2 (6.76, 21.0)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Ocular","Ocular","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Breast","Breast","76","0.00 (0.00, 4.81)","82","14.6 (8.57, 23.9)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Gynaecological","Cervix","76","-","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Gynaecological","Ovary","76","-","82","2.44 (0.67, 8.46)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Gynaecological","Uterus","76","-","82","3.66 (1.25, 10.2)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Gynaecological","Vulva/Vagina","76","-","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Prostate and other male organs","Penile","76","5.26 (2.07, 12.8)","82","-"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Prostate and other male organs","Prostate","76","15.8 (9.27, 25.6)","82","-"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Prostate and other male organs","Testicular","76","0.00 (0.00, 4.81)","82","-"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Other malignant neoplasms","Other malignant neoplasms","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Unknown primary","Unknown primary","76","2.63 (0.72, 9.10)","82","1.22 (0.22, 6.59)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Head and neck","Larynx","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Head and neck","Oral cavity","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Head and neck","Oropharynx","55","1.82 (0.32, 9.61)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Head and neck","Thyroid","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Head and neck","Other head and neck","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Upper GI","Oesophagus","55","1.82 (0.32, 9.61)","64","3.12 (0.86, 10.7)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Upper GI","Stomach","55","1.82 (0.32, 9.61)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Lower GI","Anal","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Lower GI","Colon","55","9.09 (3.95, 19.6)","64","7.81 (3.38, 17.0)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Lower GI","Rectum","55","1.82 (0.32, 9.61)","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Lower GI","Small intestine","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","HPB","Liver","55","5.45 (1.87, 14.9)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","HPB","Pancreas","55","7.27 (2.86, 17.3)","64","12.5 (6.47, 22.8)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","HPB","Other HPB","55","3.64 (1.00, 12.3)","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Respiratory","Lung","55","3.64 (1.00, 12.3)","64","20.3 (12.3, 31.7)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Respiratory","Mesothelioma","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Urological","Bladder","55","1.82 (0.32, 9.61)","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Urological","Kidney","55","3.64 (1.00, 12.3)","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Urological","Ureteric and other urinary","55","1.82 (0.32, 9.61)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Haematological","Acute leukaemia","55","1.82 (0.32, 9.61)","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Haematological","Chronic lymphocytic leukaemia","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Haematological","Hodgkin lymphoma","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Haematological","Multiple myeloma","55","3.64 (1.00, 12.3)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Haematological","Non-Hodgkin lymphoma","55","10.9 (5.10, 21.8)","64","9.38 (4.37, 19.0)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Haematological","Other haematological","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","CNS","CNS","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Sarcoma","Bone sarcoma","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Sarcoma","Connective and soft tissue sarcoma","55","1.82 (0.32, 9.61)","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Skin","Melanoma","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Ocular","Ocular","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Breast","Breast","55","0.00 (0.00, 6.53)","64","3.12 (0.86, 10.7)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Gynaecological","Cervix","55","-","64","3.12 (0.86, 10.7)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Gynaecological","Ovary","55","-","64","25.0 (16.0, 36.8)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Gynaecological","Uterus","55","-","64","1.56 (0.28, 8.33)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Gynaecological","Vulva/Vagina","55","-","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Prostate and other male organs","Penile","55","0.00 (0.00, 6.53)","64","-"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Prostate and other male organs","Prostate","55","29.1 (18.8, 42.1)","64","-"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Prostate and other male organs","Testicular","55","3.64 (1.00, 12.3)","64","-"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Other malignant neoplasms","Other malignant neoplasms","55","0.00 (0.00, 6.53)","64","0.00 (0.00, 5.66)"
"Non-specific","Non-specific - Deep vein thrombosis (Men=55, Women=64)","Unknown primary","Unknown primary","55","5.45 (1.87, 14.9)","64","4.69 (1.61, 12.9)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Head and neck","Larynx","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Head and neck","Oral cavity","49","4.08 (1.13, 13.7)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Head and neck","Oropharynx","49","4.08 (1.13, 13.7)","32","3.12 (0.55, 15.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Head and neck","Thyroid","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Head and neck","Other head and neck","49","34.7 (22.9, 48.7)","32","31.2 (18.0, 48.6)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Upper GI","Oesophagus","49","2.04 (0.36, 10.7)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Upper GI","Stomach","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Lower GI","Anal","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Lower GI","Colon","49","0.00 (0.00, 7.27)","32","3.12 (0.55, 15.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Lower GI","Rectum","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Lower GI","Small intestine","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","HPB","Liver","49","6.12 (2.10, 16.5)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","HPB","Pancreas","49","6.12 (2.10, 16.5)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","HPB","Other HPB","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Respiratory","Lung","49","8.16 (3.22, 19.2)","32","6.25 (1.73, 20.1)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Respiratory","Mesothelioma","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Urological","Bladder","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Urological","Kidney","49","2.04 (0.36, 10.7)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Urological","Ureteric and other urinary","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Haematological","Acute leukaemia","49","2.04 (0.36, 10.7)","32","6.25 (1.73, 20.1)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Haematological","Chronic lymphocytic leukaemia","49","2.04 (0.36, 10.7)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Haematological","Hodgkin lymphoma","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Haematological","Multiple myeloma","49","4.08 (1.13, 13.7)","32","18.8 (8.89, 35.3)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Haematological","Non-Hodgkin lymphoma","49","10.2 (4.44, 21.8)","32","6.25 (1.73, 20.1)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Haematological","Other haematological","49","10.2 (4.44, 21.8)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","CNS","CNS","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Sarcoma","Bone sarcoma","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Sarcoma","Connective and soft tissue sarcoma","49","0.00 (0.00, 7.27)","32","3.12 (0.55, 15.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Skin","Melanoma","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Ocular","Ocular","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Breast","Breast","49","0.00 (0.00, 7.27)","32","15.6 (6.86, 31.8)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Gynaecological","Cervix","49","-","32","3.12 (0.55, 15.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Gynaecological","Ovary","49","-","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Gynaecological","Uterus","49","-","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Gynaecological","Vulva/Vagina","49","-","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Prostate and other male organs","Penile","49","0.00 (0.00, 7.27)","32","-"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Prostate and other male organs","Prostate","49","4.08 (1.13, 13.7)","32","-"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Prostate and other male organs","Testicular","49","0.00 (0.00, 7.27)","32","-"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Other malignant neoplasms","Other malignant neoplasms","49","0.00 (0.00, 7.27)","32","0.00 (0.00, 10.7)"
"Non-specific","Non-specific - Epistaxis (Men=49, Women=32)","Unknown primary","Unknown primary","49","0.00 (0.00, 7.27)","32","3.12 (0.55, 15.7)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Head and neck","Larynx","1171","0.00 (0.00, 0.33)","1068","0.09 (0.02, 0.53)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Head and neck","Oral cavity","1171","0.09 (0.02, 0.48)","1068","0.09 (0.02, 0.53)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Head and neck","Oropharynx","1171","0.34 (0.13, 0.88)","1068","0.19 (0.05, 0.68)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Head and neck","Thyroid","1171","0.34 (0.13, 0.88)","1068","1.40 (0.85, 2.30)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Head and neck","Other head and neck","1171","0.17 (0.05, 0.62)","1068","0.09 (0.02, 0.53)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Upper GI","Oesophagus","1171","2.73 (1.94, 3.83)","1068","1.22 (0.71, 2.07)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Upper GI","Stomach","1171","3.67 (2.74, 4.91)","1068","2.53 (1.74, 3.65)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Lower GI","Anal","1171","0.17 (0.05, 0.62)","1068","0.47 (0.20, 1.09)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Lower GI","Colon","1171","11.4 (9.67, 13.3)","1068","16.8 (14.6, 19.1)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Lower GI","Rectum","1171","2.22 (1.52, 3.23)","1068","2.15 (1.44, 3.21)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Lower GI","Small intestine","1171","0.77 (0.40, 1.45)","1068","0.66 (0.32, 1.35)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","HPB","Liver","1171","4.27 (3.25, 5.59)","1068","2.25 (1.51, 3.32)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","HPB","Pancreas","1171","6.23 (4.99, 7.77)","1068","6.18 (4.89, 7.79)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","HPB","Other HPB","1171","0.68 (0.35, 1.34)","1068","1.40 (0.85, 2.30)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Respiratory","Lung","1171","18.5 (16.4, 20.9)","1068","19.6 (17.3, 22.1)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Respiratory","Mesothelioma","1171","2.48 (1.73, 3.53)","1068","0.47 (0.20, 1.09)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Urological","Bladder","1171","0.94 (0.53, 1.67)","1068","1.12 (0.64, 1.95)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Urological","Kidney","1171","2.65 (1.87, 3.73)","1068","2.90 (2.05, 4.09)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Urological","Ureteric and other urinary","1171","0.34 (0.13, 0.88)","1068","0.37 (0.15, 0.96)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Haematological","Acute leukaemia","1171","5.29 (4.15, 6.73)","1068","5.62 (4.39, 7.16)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Haematological","Chronic lymphocytic leukaemia","1171","1.96 (1.31, 2.93)","1068","1.69 (1.07, 2.65)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Haematological","Hodgkin lymphoma","1171","1.11 (0.65, 1.89)","1068","1.40 (0.85, 2.30)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Haematological","Multiple myeloma","1171","3.59 (2.66, 4.81)","1068","4.21 (3.16, 5.59)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Haematological","Non-Hodgkin lymphoma","1171","6.66 (5.37, 8.24)","1068","5.71 (4.47, 7.27)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Haematological","Other haematological","1171","3.42 (2.52, 4.62)","1068","3.37 (2.44, 4.63)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","CNS","CNS","1171","1.45 (0.91, 2.31)","1068","1.50 (0.92, 2.42)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Sarcoma","Bone sarcoma","1171","0.00 (0.00, 0.33)","1068","0.00 (0.00, 0.36)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Sarcoma","Connective and soft tissue sarcoma","1171","0.34 (0.13, 0.88)","1068","0.28 (0.10, 0.82)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Skin","Melanoma","1171","0.34 (0.13, 0.88)","1068","0.09 (0.02, 0.53)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Ocular","Ocular","1171","0.00 (0.00, 0.33)","1068","0.00 (0.00, 0.36)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Breast","Breast","1171","0.00 (0.00, 0.33)","1068","2.90 (2.05, 4.09)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Gynaecological","Cervix","1171","-","1068","0.66 (0.32, 1.35)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Gynaecological","Ovary","1171","-","1068","4.03 (3.00, 5.38)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Gynaecological","Uterus","1171","-","1068","2.15 (1.44, 3.21)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Gynaecological","Vulva/Vagina","1171","-","1068","0.09 (0.02, 0.53)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Prostate and other male organs","Penile","1171","0.00 (0.00, 0.33)","1068","-"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Prostate and other male organs","Prostate","1171","13.7 (11.8, 15.7)","1068","-"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Prostate and other male organs","Testicular","1171","0.00 (0.00, 0.33)","1068","-"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Other malignant neoplasms","Other malignant neoplasms","1171","0.43 (0.18, 1.00)","1068","0.66 (0.32, 1.35)"
"Non-specific","Non-specific - Fatigue (Men=1171, Women=1068)","Unknown primary","Unknown primary","1171","3.76 (2.81, 5.01)","1068","5.71 (4.47, 7.27)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Head and neck","Larynx","164","0.00 (0.00, 2.29)","109","0.92 (0.16, 5.01)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Head and neck","Oral cavity","164","0.00 (0.00, 2.29)","109","0.00 (0.00, 3.40)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Head and neck","Oropharynx","164","0.00 (0.00, 2.29)","109","0.00 (0.00, 3.40)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Head and neck","Thyroid","164","0.00 (0.00, 2.29)","109","0.92 (0.16, 5.01)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Head and neck","Other head and neck","164","0.61 (0.11, 3.37)","109","0.92 (0.16, 5.01)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Upper GI","Oesophagus","164","0.61 (0.11, 3.37)","109","0.00 (0.00, 3.40)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Upper GI","Stomach","164","3.05 (1.31, 6.94)","109","0.00 (0.00, 3.40)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Lower GI","Anal","164","0.00 (0.00, 2.29)","109","0.00 (0.00, 3.40)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Lower GI","Colon","164","10.4 (6.57, 16.0)","109","11.0 (6.41, 18.3)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Lower GI","Rectum","164","0.00 (0.00, 2.29)","109","0.92 (0.16, 5.01)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","Lower GI","Small intestine","164","2.44 (0.95, 6.10)","109","2.75 (0.94, 7.78)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","HPB","Liver","164","1.83 (0.62, 5.24)","109","2.75 (0.94, 7.78)"
"Non-specific","Non-specific - Fever (Men=164, Women=109)","HPB","Pancreas","164","6.10 (3.35, 10.9)","109","5.50 (2.55, 11.5)"
