"symptom_group","Cancer Group","N_sx_Men","N_sx_Women","% (95% CI)_Men","% (95% CI)_Women"
"Ulceration","Haematological","416","266","7.45 (5.30, 10.4)","6.02 (3.74, 9.55)"
"Ulceration","CNS","416","266","0.00 (0.00, 0.91)","0.00 (0.00, 1.42)"
"Ulceration","Sarcoma","416","266","3.12 (1.84, 5.27)","1.13 (0.38, 3.26)"
"Ulceration","Skin","416","266","13.2 (10.3, 16.8)","13.5 (9.94, 18.2)"
"Ulceration","Ocular","416","266","0.00 (0.00, 0.91)","0.00 (0.00, 1.42)"
"Ulceration","Breast","416","266","0.00 (0.00, 0.91)","5.26 (3.16, 8.64)"
"Ulceration","Gynaecological","416","266","-","2.26 (1.04, 4.83)"
"Ulceration","Prostate and other male organs","416","266","2.64 (1.48, 4.67)","-"
"Ulceration","Other malignant neoplasms","416","266","0.24 (0.04, 1.35)","0.38 (0.07, 2.10)"
"Ulceration","Unknown primary","416","266","1.44 (0.66, 3.11)","1.88 (0.81, 4.32)"
"Upper abdominal","Head and neck","4177","3664","2.85 (2.39, 3.40)","1.28 (0.97, 1.70)"
"Upper abdominal","Upper GI","4177","3664","36.0 (34.5, 37.4)","20.3 (19.0, 21.6)"
"Upper abdominal","Lower GI","4177","3664","12.8 (11.9, 13.9)","16.4 (15.2, 17.6)"
"Upper abdominal","HPB","4177","3664","21.1 (19.9, 22.3)","26.6 (25.2, 28.0)"
"Upper abdominal","Respiratory","4177","3664","9.48 (8.63, 10.4)","10.6 (9.61, 11.6)"
"Upper abdominal","Urological","4177","3664","2.80 (2.34, 3.35)","3.03 (2.52, 3.64)"
"Upper abdominal","Haematological","4177","3664","6.56 (5.85, 7.35)","6.11 (5.38, 6.94)"
"Upper abdominal","CNS","4177","3664","0.22 (0.11, 0.41)","0.38 (0.23, 0.64)"
"Upper abdominal","Sarcoma","4177","3664","0.24 (0.13, 0.44)","0.96 (0.69, 1.33)"
"Upper abdominal","Skin","4177","3664","0.26 (0.15, 0.47)","0.11 (0.04, 0.28)"
"Upper abdominal","Ocular","4177","3664","0.00 (0.00, 0.09)","0.00 (0.00, 0.10)"
"Upper abdominal","Breast","4177","3664","0.05 (0.01, 0.17)","1.61 (1.25, 2.07)"
"Upper abdominal","Gynaecological","4177","3664","-","7.21 (6.41, 8.09)"
"Upper abdominal","Prostate and other male organs","4177","3664","3.93 (3.38, 4.56)","-"
"Upper abdominal","Other malignant neoplasms","4177","3664","0.43 (0.27, 0.68)","0.57 (0.38, 0.87)"
"Upper abdominal","Unknown primary","4177","3664","3.33 (2.83, 3.92)","4.91 (4.26, 5.66)"
"Lower abdominal","Head and neck","5844","5927","0.09 (0.04, 0.20)","0.15 (0.08, 0.29)"
"Lower abdominal","Upper GI","5844","5927","4.95 (4.42, 5.53)","2.65 (2.27, 3.09)"
"Lower abdominal","Lower GI","5844","5927","55.7 (54.4, 56.9)","46.0 (44.7, 47.2)"
"Lower abdominal","HPB","5844","5927","11.6 (10.8, 12.4)","10.5 (9.72, 11.3)"
"Lower abdominal","Respiratory","5844","5927","4.06 (3.58, 4.59)","4.03 (3.56, 4.56)"
"Lower abdominal","Urological","5844","5927","4.45 (3.95, 5.01)","3.63 (3.18, 4.13)"
"Lower abdominal","Haematological","5844","5927","5.56 (5.00, 6.18)","3.91 (3.45, 4.44)"
"Lower abdominal","CNS","5844","5927","0.02 (0.00, 0.10)","0.07 (0.03, 0.17)"
"Lower abdominal","Sarcoma","5844","5927","0.48 (0.33, 0.69)","1.35 (1.09, 1.68)"
"Lower abdominal","Skin","5844","5927","0.03 (0.01, 0.12)","0.05 (0.02, 0.15)"
"Lower abdominal","Ocular","5844","5927","0.00 (0.00, 0.07)","0.00 (0.00, 0.06)"
"Lower abdominal","Breast","5844","5927","0.02 (0.00, 0.10)","0.83 (0.63, 1.09)"
"Lower abdominal","Gynaecological","5844","5927","-","22.0 (20.9, 23.0)"
"Lower abdominal","Prostate and other male organs","5844","5927","9.87 (9.13, 10.7)","-"
"Lower abdominal","Other malignant neoplasms","5844","5927","0.27 (0.17, 0.44)","0.49 (0.34, 0.70)"
"Lower abdominal","Unknown primary","5844","5927","2.98 (2.57, 3.45)","4.42 (3.93, 4.97)"
"Respiratory","Head and neck","5476","4122","11.7 (10.9, 12.6)","6.02 (5.33, 6.78)"
"Respiratory","Upper GI","5476","4122","3.09 (2.66, 3.58)","1.87 (1.50, 2.33)"
"Respiratory","Lower GI","5476","4122","3.10 (2.68, 3.60)","3.28 (2.77, 3.86)"
"Respiratory","HPB","5476","4122","1.77 (1.45, 2.16)","1.99 (1.61, 2.46)"
"Respiratory","Respiratory","5476","4122","64.4 (63.1, 65.7)","70.6 (69.2, 71.9)"
"Respiratory","Urological","5476","4122","2.14 (1.79, 2.55)","1.33 (1.03, 1.73)"
"Respiratory","Haematological","5476","4122","8.60 (7.89, 9.37)","7.04 (6.29, 7.86)"
"Respiratory","CNS","5476","4122","0.07 (0.03, 0.19)","0.07 (0.02, 0.21)"
"Respiratory","Sarcoma","5476","4122","0.16 (0.09, 0.31)","0.32 (0.18, 0.54)"
"Respiratory","Skin","5476","4122","0.27 (0.17, 0.45)","0.12 (0.05, 0.28)"
"Respiratory","Ocular","5476","4122","0.00 (0.00, 0.07)","0.00 (0.00, 0.09)"
"Respiratory","Breast","5476","4122","0.05 (0.02, 0.16)","2.69 (2.24, 3.23)"
"Respiratory","Gynaecological","5476","4122","-","2.21 (1.80, 2.70)"
"Respiratory","Prostate and other male organs","5476","4122","2.25 (1.89, 2.67)","-"
"Respiratory","Other malignant neoplasms","5476","4122","0.60 (0.43, 0.85)","0.39 (0.24, 0.63)"
"Respiratory","Unknown primary","5476","4122","1.77 (1.45, 2.16)","2.11 (1.71, 2.60)"
"Urological","Head and neck","6900","1104","0.01 (0.00, 0.08)","0.09 (0.02, 0.51)"
"Urological","Upper GI","6900","1104","0.14 (0.08, 0.27)","0.63 (0.31, 1.30)"
"Urological","Lower GI","6900","1104","1.19 (0.96, 1.47)","3.53 (2.59, 4.79)"
"Urological","HPB","6900","1104","0.72 (0.55, 0.95)","2.90 (2.06, 4.06)"
"Urological","Respiratory","6900","1104","0.61 (0.45, 0.82)","3.26 (2.36, 4.48)"
"Urological","Urological","6900","1104","21.7 (20.7, 22.7)","54.3 (51.3, 57.2)"
"Urological","Haematological","6900","1104","1.33 (1.09, 1.63)","3.62 (2.67, 4.90)"
"Urological","CNS","6900","1104","0.04 (0.01, 0.13)","0.45 (0.19, 1.06)"
"Urological","Sarcoma","6900","1104","0.06 (0.02, 0.15)","0.82 (0.43, 1.54)"
"Urological","Skin","6900","1104","0.01 (0.00, 0.08)","0.09 (0.02, 0.51)"
"Urological","Ocular","6900","1104","0.01 (0.00, 0.08)","0.00 (0.00, 0.35)"
"Urological","Breast","6900","1104","0.01 (0.00, 0.08)","0.45 (0.19, 1.06)"
"Urological","Gynaecological","6900","1104","-","27.7 (25.2, 30.4)"
"Urological","Prostate and other male organs","6900","1104","73.7 (72.7, 74.8)","-"
"Urological","Other malignant neoplasms","6900","1104","0.09 (0.04, 0.19)","0.36 (0.14, 0.93)"
"Urological","Unknown primary","6900","1104","0.32 (0.21, 0.48)","1.81 (1.18, 2.78)"
"Central nervous system","Head and neck","633","526","3.63 (2.43, 5.39)","2.85 (1.74, 4.65)"
"Central nervous system","Upper GI","633","526","1.11 (0.54, 2.26)","1.14 (0.52, 2.47)"
"Central nervous system","Lower GI","633","526","2.53 (1.56, 4.07)","2.28 (1.31, 3.94)"
"Central nervous system","HPB","633","526","2.21 (1.32, 3.68)","1.71 (0.90, 3.22)"
"Central nervous system","Respiratory","633","526","18.0 (15.2, 21.2)","23.4 (20.0, 27.2)"
"Central nervous system","Urological","633","526","1.58 (0.86, 2.88)","1.71 (0.90, 3.22)"
"Central nervous system","Haematological","633","526","9.32 (7.29, 11.8)","11.0 (8.63, 14.0)"
"Central nervous system","CNS","633","526","51.0 (47.1, 54.9)","43.9 (39.7, 48.2)"
"Central nervous system","Sarcoma","633","526","0.16 (0.03, 0.89)","0.57 (0.19, 1.66)"
"Central nervous system","Skin","633","526","1.42 (0.75, 2.68)","0.38 (0.10, 1.38)"
"Central nervous system","Ocular","633","526","1.58 (0.86, 2.88)","3.23 (2.03, 5.11)"
"Central nervous system","Breast","633","526","0.00 (0.00, 0.60)","2.47 (1.45, 4.18)"
"Central nervous system","Gynaecological","633","526","-","1.33 (0.65, 2.72)"
"Central nervous system","Prostate and other male organs","633","526","3.00 (1.93, 4.64)","-"
"Central nervous system","Other malignant neoplasms","633","526","0.63 (0.25, 1.61)","0.00 (0.00, 0.73)"
"Central nervous system","Unknown primary","633","526","3.79 (2.56, 5.58)","3.99 (2.63, 6.03)"
"Musculoskeletal","Head and neck","1390","949","0.29 (0.11, 0.74)","1.05 (0.57, 1.93)"
"Musculoskeletal","Upper GI","1390","949","1.73 (1.16, 2.56)","2.42 (1.62, 3.61)"
"Musculoskeletal","Lower GI","1390","949","3.24 (2.43, 4.30)","4.64 (3.47, 6.17)"
"Musculoskeletal","HPB","1390","949","3.74 (2.86, 4.87)","6.64 (5.22, 8.40)"
"Musculoskeletal","Respiratory","1390","949","19.4 (17.4, 21.5)","29.2 (26.4, 32.2)"
"Musculoskeletal","Urological","1390","949","5.97 (4.84, 7.34)","6.32 (4.94, 8.05)"
"Musculoskeletal","Haematological","1390","949","19.9 (17.9, 22.1)","23.9 (21.3, 26.7)"
"Musculoskeletal","CNS","1390","949","0.50 (0.24, 1.04)","1.05 (0.57, 1.93)"
"Musculoskeletal","Sarcoma","1390","949","2.52 (1.82, 3.48)","2.74 (1.88, 3.98)"
"Musculoskeletal","Skin","1390","949","0.22 (0.07, 0.63)","0.32 (0.11, 0.93)"
"Musculoskeletal","Ocular","1390","949","0.00 (0.00, 0.28)","0.00 (0.00, 0.40)"
"Musculoskeletal","Breast","1390","949","0.07 (0.01, 0.41)","8.54 (6.92, 10.5)"
"Musculoskeletal","Gynaecological","1390","949","-","6.32 (4.94, 8.05)"
"Musculoskeletal","Prostate and other male organs","1390","949","37.5 (35.0, 40.1)","-"
"Musculoskeletal","Other malignant neoplasms","1390","949","0.43 (0.20, 0.94)","0.42 (0.16, 1.08)"
"Musculoskeletal","Unknown primary","1390","949","4.53 (3.56, 5.76)","6.43 (5.04, 8.17)"
"Skin Lesion","Head and neck","1138","1282","0.26 (0.09, 0.77)","0.08 (0.01, 0.44)"
"Skin Lesion","Upper GI","1138","1282","0.00 (0.00, 0.34)","0.00 (0.00, 0.30)"
"Skin Lesion","Lower GI","1138","1282","0.00 (0.00, 0.34)","0.00 (0.00, 0.30)"
"Skin Lesion","HPB","1138","1282","0.00 (0.00, 0.34)","0.00 (0.00, 0.30)"
"Skin Lesion","Respiratory","1138","1282","0.53 (0.24, 1.15)","0.08 (0.01, 0.44)"
"Skin Lesion","Urological","1138","1282","0.09 (0.02, 0.50)","0.00 (0.00, 0.30)"
"Skin Lesion","Haematological","1138","1282","1.41 (0.87, 2.27)","0.86 (0.48, 1.53)"
"Skin Lesion","CNS","1138","1282","0.00 (0.00, 0.34)","0.00 (0.00, 0.30)"
"Skin Lesion","Sarcoma","1138","1282","0.88 (0.48, 1.61)","0.31 (0.12, 0.80)"
"Skin Lesion","Skin","1138","1282","96.0 (94.7, 97.0)","97.7 (96.8, 98.4)"
"Skin Lesion","Ocular","1138","1282","0.00 (0.00, 0.34)","0.08 (0.01, 0.44)"
"Skin Lesion","Breast","1138","1282","0.09 (0.02, 0.50)","0.39 (0.17, 0.91)"
"Skin Lesion","Gynaecological","1138","1282","-","0.23 (0.08, 0.69)"
"Skin Lesion","Prostate and other male organs","1138","1282","0.18 (0.05, 0.64)","-"
"Skin Lesion","Other malignant neoplasms","1138","1282","0.35 (0.14, 0.90)","0.08 (0.01, 0.44)"
"Skin Lesion","Unknown primary","1138","1282","0.18 (0.05, 0.64)","0.16 (0.04, 0.57)"
"Breast Symptoms","Head and neck","156","6258","0.64 (0.11, 3.54)","0.10 (0.04, 0.21)"
"Breast Symptoms","Upper GI","156","6258","1.92 (0.66, 5.50)","0.03 (0.01, 0.12)"
"Breast Symptoms","Lower GI","156","6258","2.56 (1.00, 6.41)","0.10 (0.04, 0.21)"
"Breast Symptoms","HPB","156","6258","0.64 (0.11, 3.54)","0.03 (0.01, 0.12)"
"Breast Symptoms","Respiratory","156","6258","5.13 (2.62, 9.79)","0.56 (0.40, 0.78)"
"Breast Symptoms","Urological","156","6258","0.64 (0.11, 3.54)","0.05 (0.02, 0.14)"
"Breast Symptoms","Haematological","156","6258","25.6 (19.4, 33.0)","1.36 (1.10, 1.68)"
"Breast Symptoms","CNS","156","6258","0.00 (0.00, 2.40)","0.03 (0.01, 0.12)"
"Breast Symptoms","Sarcoma","156","6258","0.00 (0.00, 2.40)","0.10 (0.04, 0.21)"
"Breast Symptoms","Skin","156","6258","5.77 (3.06, 10.6)","0.05 (0.02, 0.14)"
"Breast Symptoms","Ocular","156","6258","0.00 (0.00, 2.40)","0.00 (0.00, 0.06)"
"Breast Symptoms","Breast","156","6258","45.5 (37.9, 53.3)","97.3 (96.9, 97.7)"
"Breast Symptoms","Gynaecological","156","6258","-","0.19 (0.11, 0.33)"
"Breast Symptoms","Prostate and other male organs","156","6258","5.13 (2.62, 9.79)","-"
"Breast Symptoms","Other malignant neoplasms","156","6258","0.64 (0.11, 3.54)","0.00 (0.00, 0.06)"
"Breast Symptoms","Unknown primary","156","6258","5.77 (3.06, 10.6)","0.06 (0.02, 0.16)"
"Female specific","Head and neck","-","1918","-","0.10 (0.03, 0.38)"
"Female specific","Upper GI","-","1918","-","0.16 (0.05, 0.46)"
"Female specific","Lower GI","-","1918","-","0.78 (0.47, 1.29)"
"Female specific","HPB","-","1918","-","0.31 (0.14, 0.68)"
"Female specific","Respiratory","-","1918","-","0.21 (0.08, 0.54)"
"Female specific","Urological","-","1918","-","1.41 (0.97, 2.04)"
"Female specific","Haematological","-","1918","-","0.52 (0.28, 0.96)"
"Female specific","CNS","-","1918","-","0.00 (0.00, 0.20)"
"Female specific","Sarcoma","-","1918","-","0.05 (0.01, 0.29)"
"Female specific","Skin","-","1918","-","0.00 (0.00, 0.20)"
"Female specific","Ocular","-","1918","-","0.00 (0.00, 0.20)"
"Female specific","Breast","-","1918","-","0.47 (0.25, 0.89)"
"Female specific","Gynaecological","-","1918","-","95.0 (93.9, 95.9)"
"Female specific","Other malignant neoplasms","-","1918","-","0.36 (0.18, 0.75)"
"Female specific","Unknown primary","-","1918","-","0.63 (0.36, 1.09)"
"Male specific","Head and neck","867","-","0.00 (0.00, 0.44)","-"
"Male specific","Upper GI","867","-","0.00 (0.00, 0.44)","-"
"Male specific","Lower GI","867","-","1.04 (0.55, 1.96)","-"
"Male specific","HPB","867","-","0.23 (0.06, 0.84)","-"
"Male specific","Respiratory","867","-","0.12 (0.02, 0.65)","-"
"Male specific","Urological","867","-","2.54 (1.68, 3.81)","-"
"Male specific","Haematological","867","-","4.61 (3.41, 6.22)","-"
"Male specific","CNS","867","-","0.00 (0.00, 0.44)","-"
"Male specific","Sarcoma","867","-","0.12 (0.02, 0.65)","-"
"Male specific","Skin","867","-","0.00 (0.00, 0.44)","-"
"Male specific","Ocular","867","-","0.00 (0.00, 0.44)","-"
"Male specific","Breast","867","-","0.00 (0.00, 0.44)","-"
"Male specific","Prostate and other male organs","867","-","91.2 (89.2, 92.9)","-"
"Male specific","Other malignant neoplasms","867","-","0.12 (0.02, 0.65)","-"
"Male specific","Unknown primary","867","-","0.00 (0.00, 0.44)","-"
"None recorded","Head and neck","7016","4050","3.58 (3.17, 4.04)","5.53 (4.87, 6.28)"
"None recorded","Upper GI","7016","4050","2.85 (2.49, 3.27)","2.47 (2.03, 2.99)"
"None recorded","Lower GI","7016","4050","8.84 (8.20, 9.52)","12.0 (11.0, 13.0)"
"None recorded","HPB","7016","4050","6.01 (5.48, 6.60)","6.12 (5.43, 6.90)"
"None recorded","Respiratory","7016","4050","13.8 (13.0, 14.6)","21.9 (20.6, 23.2)"
"None recorded","Urological","7016","4050","8.25 (7.63, 8.92)","7.93 (7.13, 8.80)"
"None recorded","Haematological","7016","4050","11.9 (11.2, 12.7)","14.5 (13.4, 15.6)"
"None recorded","CNS","7016","4050","1.47 (1.21, 1.78)","1.56 (1.22, 1.99)"
"None recorded","Sarcoma","7016","4050","0.50 (0.36, 0.69)","0.74 (0.52, 1.06)"
"None recorded","Skin","7016","4050","2.08 (1.77, 2.44)","2.05 (1.66, 2.53)"
"None recorded","Ocular","7016","4050","0.60 (0.44, 0.81)","0.59 (0.40, 0.88)"
"None recorded","Breast","7016","4050","0.06 (0.02, 0.15)","12.4 (11.4, 13.4)"
"None recorded","Gynaecological","7016","4050","-","8.22 (7.42, 9.11)"
"None recorded","Prostate and other male organs","7016","4050","38.0 (36.9, 39.1)","-"
"None recorded","Other malignant neoplasms","7016","4050","0.40 (0.28, 0.58)","0.74 (0.52, 1.06)"
"None recorded","Unknown primary","7016","4050","1.65 (1.38, 1.98)","3.33 (2.82, 3.93)"
